Sun Jan  9 16:40:04 2022    Face_Detector/Viola_and_jones/output.dat

         1207220 function calls (1206955 primitive calls) in 11.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   516758    6.409    0.000    6.409    0.000 d:\Fall 2021\Image Processing\Project\Pipeline\emotion_detector\Face_Detector\Viola_and_jones\Feature.py:17(compute)
        1    1.428    1.428   11.618   11.618 d:\Fall 2021\Image Processing\Project\Pipeline\emotion_detector\Viola_and_Jones_Main.py:27(real_time_main)
       12    0.977    0.081    0.977    0.081 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.770    0.770    0.770    0.770 {method 'release' of 'cv2.VideoCapture' objects}
   516758    0.403    0.000    6.812    0.000 d:\Fall 2021\Image Processing\Project\Pipeline\emotion_detector\Face_Detector\Viola_and_jones\Tree.py:8(compute)
       12    0.364    0.030    0.802    0.067 D:\Anaconda\envs\pattern\lib\site-packages\skimage\feature\_canny.py:53(canny)
    17292    0.283    0.000    7.094    0.000 d:\Fall 2021\Image Processing\Project\Pipeline\emotion_detector\Face_Detector\Viola_and_jones\Stage.py:8(compute)
       96    0.278    0.003    0.278    0.003 {built-in method scipy.ndimage._nd_image.correlate1d}
       12    0.156    0.013    8.244    0.687 d:\Fall 2021\Image Processing\Project\Pipeline\emotion_detector\Face_Detector\Viola_and_jones\Detector.py:47(detect)
       12    0.097    0.008    0.097    0.008 {waitKey}
      277    0.062    0.000    0.062    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       12    0.046    0.004    0.046    0.004 {imshow}
      264    0.040    0.000    0.042    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       12    0.032    0.003    0.268    0.022 D:\Anaconda\envs\pattern\lib\site-packages\skimage\feature\_canny.py:23(smooth_with_function_and_mask)
       12    0.031    0.003    0.031    0.003 {built-in method scipy.ndimage._nd_image.binary_erosion}
        1    0.027    0.027    0.027    0.027 {destroyAllWindows}
       24    0.023    0.001    0.023    0.001 {resize}
       24    0.021    0.001    0.021    0.001 {integral2}
    57207    0.019    0.000    0.026    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:321(<genexpr>)
       12    0.012    0.001    0.012    0.001 {built-in method scipy.ndimage._ni_label._label}
       48    0.012    0.000    0.012    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\util\dtype.py:176(_convert)
       72    0.009    0.000    0.011    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:238(_screen_shape_windows)
       24    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
      543    0.008    0.000    0.034    0.000 {built-in method builtins.sum}
    56664    0.007    0.000    0.007    0.000 {built-in method unicodedata.east_asian_width}
      181    0.006    0.000    0.037    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:352(format_meter)
      132    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6056    0.004    0.000    0.004    0.000 {built-in method math.sqrt}
       72    0.004    0.000    0.060    0.001 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:839(__init__)
     1223    0.003    0.000    0.004    0.000 {method 'format' of 'str' objects}
       24    0.003    0.000    0.228    0.010 D:\Anaconda\envs\pattern\lib\site-packages\skimage\feature\_canny.py:179(fsmooth)
     1308    0.003    0.000    0.099    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1147(__iter__)
      349    0.002    0.000    0.069    0.000 D:\Anaconda\envs\pattern\lib\site-packages\colorama\ansitowin32.py:177(write_and_convert)
      349    0.002    0.000    0.003    0.000 D:\Anaconda\envs\pattern\lib\site-packages\colorama\ansitowin32.py:245(convert_osc)
      181    0.002    0.000    0.002    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1421(format_dict)
