Mon Dec 27 19:12:03 2021    output.dat

         25911873 function calls (25911827 primitive calls) in 158.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12230617  119.183    0.000  119.183    0.000 d:\Fall 2021\Image Processing\Project\Viola and jones Trials\ViolaAndJones\Feature.py:18(compute)
        1   25.043   25.043   25.043   25.043 {waitKey}
 12230617    6.770    0.000  125.954    0.000 d:\Fall 2021\Image Processing\Project\Viola and jones Trials\ViolaAndJones\Tree.py:8(compute)
   583432    4.911    0.000  130.865    0.000 d:\Fall 2021\Image Processing\Project\Viola and jones Trials\ViolaAndJones\Stage.py:8(compute)
        1    1.892    1.892  133.292  133.292 d:\Fall 2021\Image Processing\Project\Viola and jones Trials\ViolaAndJones\Detector.py:52(detect)
      845    0.165    0.000    0.165    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    15147    0.154    0.000    0.156    0.000 {built-in method builtins.eval}
   233382    0.076    0.000    0.076    0.000 {built-in method math.sqrt}
   249884    0.067    0.000    0.095    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:321(<genexpr>)
        1    0.059    0.059    0.059    0.059 {imshow}
        1    0.051    0.051    0.051    0.051 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
     2490    0.028    0.000    0.123    0.000 {built-in method builtins.sum}
   247394    0.028    0.000    0.028    0.000 {built-in method unicodedata.east_asian_width}
      830    0.026    0.000    0.143    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:352(format_meter)
        1    0.016    0.016    0.242    0.242 d:\Fall 2021\Image Processing\Project\Viola and jones Trials\ViolaAndJones\Detector.py:25(read_from_xml_file)
     6595    0.014    0.000    0.019    0.000 {method 'format' of 'str' objects}
     6383    0.010    0.000    0.097    0.000 d:\Fall 2021\Image Processing\Project\Viola and jones Trials\ViolaAndJones\Rect.py:2(__init__)
      800    0.010    0.000    0.422    0.001 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1183(update)
      830    0.008    0.000    0.010    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1421(format_dict)
        1    0.008    0.008    0.008    0.008 {imread}
     4815    0.008    0.000    0.008    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:233(__call__)
     1660    0.005    0.000    0.007    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:214(_is_ascii)
     2913    0.005    0.000    0.075    0.000 d:\Fall 2021\Image Processing\Project\Viola and jones Trials\ViolaAndJones\Feature.py:7(__init__)
      860    0.005    0.000    0.182    0.000 D:\Anaconda\envs\pattern\lib\site-packages\colorama\ansitowin32.py:177(write_and_convert)
